case_id,suite,execution_set,priority,category,subcategory,language,conversation_type,role,user_ref,household_ref,label_source,acceptable_tools,required_tools,pair_id,turn_1,turn_2,turn_3,expected_facts,forbidden_content,expected_citations,expected_tool,expected_behavior,as_of,label_source_resolved,tenant_id,user_id,household_id,citation_gate,fallback_gate
V2-GR-0011,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p06,스프링클러 헤드에서 누수가 있었나요? 원인과 조치를 알려주세요.,,,,,0eb73f39-c62e-4474-aa4e-560007e76dd0,search_documents,answered,,documents id=0eb73f39-c62e-4474-aa4e-560007e76dd0,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0012,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p06,스프링클러 헤드에서 누수가 있었나요? 원인과 조치를 알려주세요.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0013,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p07,지하주차장 환기팬 소음 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,,0eb73f39-c62e-4474-aa4e-560007e76dd0,search_documents,answered,,documents id=0eb73f39-c62e-4474-aa4e-560007e76dd0,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0014,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p07,지하주차장 환기팬 소음 문제가 있었나요? 원인과 조치가 궁금합니다.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0015,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p08,홈네트워크 서버 고장으로 월패드에 문제가 있었나요? 원인과 조치를 알려주세요.,,,,,0eb73f39-c62e-4474-aa4e-560007e76dd0,search_documents,answered,,documents id=0eb73f39-c62e-4474-aa4e-560007e76dd0,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0016,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p08,홈네트워크 서버 고장으로 월패드에 문제가 있었나요? 원인과 조치를 알려주세요.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0017,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p09,놀이터 미끄럼틀 이음부에 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,,0eb73f39-c62e-4474-aa4e-560007e76dd0,search_documents,answered,,documents id=0eb73f39-c62e-4474-aa4e-560007e76dd0,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0018,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p09,놀이터 미끄럼틀 이음부에 문제가 있었나요? 원인과 조치가 궁금합니다.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0019,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,,p10,EV충전기 통신 오류가 있었나요? 원인과 조치를 알려주세요.,,,,,0eb73f39-c62e-4474-aa4e-560007e76dd0,search_documents,answered,,documents id=0eb73f39-c62e-4474-aa4e-560007e76dd0,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0020,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,,p10,EV충전기 통신 오류가 있었나요? 원인과 조치를 알려주세요.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0021,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,다중 턴,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,,,우리 집 월패드가 먹통이에요. 관련 설비에 과거 문제가 있었나요?,지금은 정상으로 복구됐나요?,,"증상: 월패드 승강기 호출 기능 불능 원인: 홈넷 서버 고장 연쇄 조치: 미해소 — 하드웨어 발주 상태, 우회 중; 증상: 홈네트워크 서버 고장·월패드 간헐 중단 원인: 서버 하드웨어 노후 조치: 미해소 — 임시 우회 운영 중, 8월 서버 교체 예정(as_of 2026-07-30)",,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['4b9812cd-64a0-43e6-9825-1fec8b18ae76'] n=2,11111111-1111-1111-1111-111111111111,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,필수,해당 없음
V2-GR-0022,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,home-device:수도 차단밸브,,,,화장실 수도가 약한데 급수 설비에 이력이 있나요?,,,증상: 부스터펌프 1호기 진동 재발 원인: 정비 후 재발(교체 필요) 조치: 1·2호기 동시 교체; 증상: 부스터펌프 1호기 진동 증가 원인: 임펠러 마모·베어링 노후(13년) 조치: 정비 후 교체 의결,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['faa6ad2b-8633-4f3c-a773-42c57d215d9d'] n=2,11111111-1111-1111-1111-111111111111,28989e29-e703-4228-b696-10ae0eb034aa,401-1203,필수,해당 없음
V2-GR-0023,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,home-device:온도조절기,,,,온수가 시원찮아요. 난방 설비에 과거 문제가 있었나요?,,,증상: 열교환기 2차측 차압조절밸브 오작동 원인: 밸브 고착 조치: 정비로 해소,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['038a4ff3-9ad0-4f5e-a1f5-ee1141725e16'] n=1,11111111-1111-1111-1111-111111111111,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,필수,해당 없음
V2-GR-0024,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,home-device:난방 분배기,,,,난방이 잘 안 돼요. 관련 설비 이력을 알려주세요.,,,증상: 열교환기 2차측 차압조절밸브 오작동 원인: 밸브 고착 조치: 정비로 해소,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['038a4ff3-9ad0-4f5e-a1f5-ee1141725e16'] n=1,11111111-1111-1111-1111-111111111111,6cc08221-1359-49f1-a80e-9869e41773e6,402-802,필수,해당 없음
V2-GR-0025,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,home-device:화재감지기,,,,우리 집 화재감지기가 연결된 설비에 점검 이력이 있나요?,,,증상: 중계기 통신불량 최초 징후 원인: 중계기 노후 초기 조치: 경보 확인·모니터링; 증상: R형 화재수신반 중계기 통신 불량 반복 원인: 중계기 노후(12년)·통신경보 6회 조치: 중계기 4개 교체,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['adc90b5f-fda5-45bb-a689-440043520138'] n=2,11111111-1111-1111-1111-111111111111,2c62e75d-1db9-45ea-946b-a44b190bb916,401-2303,필수,해당 없음
V2-GR-0026,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,home-device:통신단자함,,,,우리 집 인터넷이 자꾸 끊겨요. 통신 관련 설비에 문제가 있었나요?,,,"증상: 월패드 승강기 호출 기능 불능 원인: 홈넷 서버 고장 연쇄 조치: 미해소 — 하드웨어 발주 상태, 우회 중; 증상: 홈네트워크 서버 고장·월패드 간헐 중단 원인: 서버 하드웨어 노후 조치: 미해소 — 임시 우회 운영 중, 8월 서버 교체 예정(as_of 2026-07-30)",,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['4b9812cd-64a0-43e6-9825-1fec8b18ae76'] n=2,11111111-1111-1111-1111-111111111111,2d711840-78ca-42be-9711-77d73c588a6e,403-1002,필수,해당 없음
V2-GR-0027,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,4370e4d1-5887-400d-a9d1-ebc3cf2aaace,405-1303,home-device:보일러,,,,보일러 온수가 미지근해요. 난방 설비에 과거 문제가 있었나요?,,,증상: 열교환기 2차측 차압조절밸브 오작동 원인: 밸브 고착 조치: 정비로 해소,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['038a4ff3-9ad0-4f5e-a1f5-ee1141725e16'] n=1,11111111-1111-1111-1111-111111111111,4370e4d1-5887-400d-a9d1-ebc3cf2aaace,405-1303,필수,해당 없음
V2-GR-0028,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,117f0ee5-9cd0-4e73-aca7-8a5d85a919fe,404-403,home-device:콘센트,,,,거실 콘센트가 안 돼요. 연결된 전기 설비에 장애 이력이 있나요?,,,과거 장애 이력 없음,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['6a47ef2e-6130-453f-9a51-dfa055dd9908'] n=0,11111111-1111-1111-1111-111111111111,117f0ee5-9cd0-4e73-aca7-8a5d85a919fe,404-403,필수,해당 없음
V2-GR-0029,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,a034c6b2-d31d-485b-878c-f902a3b74f7a,405-301,home-device:분전함,,,,세대 분전함과 연결된 설비에 과거 문제가 있었나요?,,,과거 장애 이력 없음,,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['6a47ef2e-6130-453f-9a51-dfa055dd9908'] n=0,11111111-1111-1111-1111-111111111111,a034c6b2-d31d-485b-878c-f902a3b74f7a,405-301,필수,해당 없음
V2-GR-0030,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,457c5006-a8fc-45c0-bd61-e6f363b8103f,404-1502,home-device:가스밸브,trace_home_device_issue,,,주방 가스밸브가 이상한데 연결된 설비 이력이 있나요?,,,연결된 공용 설비 계통 정보 없음 — 안내/폴백,,,,fallback,,home-device household=404-1502 kw~가스밸브 facility=none,11111111-1111-1111-1111-111111111111,457c5006-a8fc-45c0-bd61-e6f363b8103f,404-1502,근거 없으면 답변 금지,필수
V2-GR-0031,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:에어컨 배관,trace_home_device_issue,,,에어컨 배관에서 물이 새는데 관련 설비 이력이 있나요?,,,연결된 공용 설비 계통 정보 없음 — 안내/폴백,,,,fallback,,home-device household=401-201 kw~에어컨 배관 facility=none,11111111-1111-1111-1111-111111111111,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,근거 없으면 답변 금지,필수
V2-GR-0032,질문→답변 품질 v2,Full,P1,시설·설비,세대민원 추적,한국어,다중 턴,RESIDENT,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,home-device:가스밸브,trace_home_device_issue,,,우리 집 가스밸브가 잠기지 않아요. 연결된 설비에 문제가 있었나요?,그럼 어디에 문의해야 하나요?,,연결된 공용 설비 계통 정보 없음 — 안내/폴백,,,,fallback,,home-device household=403-201 kw~가스밸브 facility=none,11111111-1111-1111-1111-111111111111,1220d57f-2e29-4eaf-b253-4de728a5ecea,403-201,근거 없으면 답변 금지,필수
V2-GR-0033,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 재발,,,,부스터펌프 진동이 재발했는데 근본 원인이 뭔가요? 앞선 장애와 연결해서 설명해 주세요.,,,부스터펌프 1호기 진동 재발 ← 부스터펌프 1호기 진동 증가 ← 저수조 수위센서 오작동,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=3 from=55ee9bdb-ad74-47df-b190-fc4ef2d8d2f1,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0034,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,다중 턴,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 재발,,,,부스터펌프에서 진동이 또 발생했어요. 왜 반복되나요?,이전 장애와 어떻게 연결되나요?,,부스터펌프 1호기 진동 재발 ← 부스터펌프 1호기 진동 증가 ← 저수조 수위센서 오작동,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=3 from=55ee9bdb-ad74-47df-b190-fc4ef2d8d2f1,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0035,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:월패드 승강기 호출,,,,월패드에서 승강기 호출이 안 되는데 근본 원인이 무엇 때문인가요? 연쇄 원인을 설명해 주세요.,,,월패드 승강기 호출 기능 불능 ← 홈네트워크 서버 고장·월패드 간헐 중단,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=2 from=51577b49-e67d-47ad-8313-69543bdc5aca,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0036,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:월패드 승강기 호출,,,,세대 월패드로 승강기를 못 부르는 장애의 최초 원인이 무엇인가요?,,,월패드 승강기 호출 기능 불능 ← 홈네트워크 서버 고장·월패드 간헐 중단,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=2 from=51577b49-e67d-47ad-8313-69543bdc5aca,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0037,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:중계기 통신 불량 반복,,,,화재수신반 중계기 통신 불량이 반복되는데 근본 원인이 뭔가요? 앞선 징후와 연결해 주세요.,,,R형 화재수신반 중계기 통신 불량 반복 ← 중계기 통신불량 최초 징후,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=2 from=8f26e53b-b66c-4192-b2f4-635bded57bcb,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0038,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,다중 턴,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:중계기 통신 불량 반복,,,,중계기 통신 불량이 자꾸 재발합니다. 무엇 때문인가요?,최초 징후는 언제였나요?,,R형 화재수신반 중계기 통신 불량 반복 ← 중계기 통신불량 최초 징후,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=2 from=8f26e53b-b66c-4192-b2f4-635bded57bcb,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0039,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 증가,,,,부스터펌프 진동이 점점 심해진 원인이 무엇 때문인가요? 연쇄로 설명해 주세요.,,,부스터펌프 1호기 진동 증가 ← 저수조 수위센서 오작동,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=2 from=a91057b9-274f-4630-b69e-d317d1ac7e11,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0040,질문→답변 품질 v2,Full,P1,시설·설비,다단계 원인,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:chain:진동 증가,,,,부스터펌프 진동 증가의 근본 원인이 저수조 수위센서와 연결되나요?,,,부스터펌프 1호기 진동 증가 ← 저수조 수위센서 오작동,,tool:search_facility_graph,search_facility_graph,answered,,incidents chain len=2 from=a91057b9-274f-4630-b69e-d317d1ac7e11,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
CX-R01,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,search_documents,find_nearest_available_parking",,"우리 집 월패드가 자꾸 먹통인데 과거 관련 설비 문제 이력 봐주고, 홈네트워크 관련 관리규약 조항 있으면 알려주고, 오늘 방문객 와서 가까운 빈 주차자리도 알려줘.",,,"증상: 월패드 승강기 호출 기능 불능 원인: 홈넷 서버 고장 연쇄 조치: 미해소 — 하드웨어 발주 상태, 우회 중; 증상: 홈네트워크 서버 고장·월패드 간헐 중단 원인: 서버 하드웨어 노후 조치: 미해소 — 임시 우회 운영 중, 8월 서버 교체 예정(as_of 2026-07-30)",타 세대 정보,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['4b9812cd-64a0-43e6-9825-1fec8b18ae76'] n=2,11111111-1111-1111-1111-111111111111,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,필수,해당 없음
CX-R02,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,get_fees",,"우리 집 월패드 과거 문제 이력 확인해주고, 이번 달 우리 집 관리비도 알려줘.",,,"증상: 월패드 승강기 호출 기능 불능 원인: 홈넷 서버 고장 연쇄 조치: 미해소 — 하드웨어 발주 상태, 우회 중; 증상: 홈네트워크 서버 고장·월패드 간헐 중단 원인: 서버 하드웨어 노후 조치: 미해소 — 임시 우회 운영 중, 8월 서버 교체 예정(as_of 2026-07-30)",타 세대 정보,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['4b9812cd-64a0-43e6-9825-1fec8b18ae76'] n=2,11111111-1111-1111-1111-111111111111,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,필수,해당 없음
CX-R03,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,parking:nearest,,"find_nearest_available_parking,get_fees",,"가까운 빈 주차자리 알려주고, 이번 달 관리비 얼마 나왔는지도 알려줘.",,,가장 가까운 빈자리: 018면·019면·020면,타 세대 정보,tool:find_nearest_available_parking,find_nearest_available_parking,answered,,parking nearest core=401동 ev=False n=3,11111111-1111-1111-1111-111111111111,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,필수,해당 없음
CX-R04,질문→답변 품질 v2,Full,P1,복합·라우팅,복합-세대,한국어,단일,RESIDENT,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,home-device:월패드,,"trace_home_device_issue,get_my_inquiries",,"우리 집 기기 문제 이력 봐주고, 내가 접수한 민원 처리 상태도 알려줘.",,,"증상: 월패드 승강기 호출 기능 불능 원인: 홈넷 서버 고장 연쇄 조치: 미해소 — 하드웨어 발주 상태, 우회 중; 증상: 홈네트워크 서버 고장·월패드 간헐 중단 원인: 서버 하드웨어 노후 조치: 미해소 — 임시 우회 운영 중, 8월 서버 교체 예정(as_of 2026-07-30)",타 세대 정보,tool:trace_home_device_issue,trace_home_device_issue,answered,,incidents facilities=['4b9812cd-64a0-43e6-9825-1fec8b18ae76'] n=2,11111111-1111-1111-1111-111111111111,88aa6f7a-ca24-467f-b931-122fe574d7a8,401-201,필수,해당 없음
